fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
195131.1000000015;1701.00;0.30000000074505806;42.16;53.09;1546.39;0;0;93696;97486.62877926801
196131.40000000224;1700.49;0.10000000149011612;43.94;53.09;1764.71;0;0;91904;97479.83537038433
197131.40000000224;1689.00;0.29999999701976776;42.51;53.09;1694.92;0;0;94208;97476.15195731824
198131.40000000224;1688.00;0.30000000074505806;41.07;53.09;1675.98;0;0;93536;97470.77043763723
199131.69999999925;1700.49;0.30000000074505806;42.85;53.09;1694.92;0;0;96256;97471.23820026935
200131.80000000075;1706.83;0.29999999701976776;41.47;53.09;1764.71;0;0;92320;97461.34132343011
201132;1706.66;0.19999999925494194;43.26;53.09;1704.55;0;0;94208;97451.43257796018
202132.40000000224;1660.34;0.5;42.53;53.09;1570.68;0;0;83968;97439.00113829799
203132.80000000075;1700.32;0.29999999701976776;41.11;53.09;1734.10;0;0;95808;97435.14769633616
204133.19999999925;1699.32;0.20000000298023224;42.89;53.09;1666.67;0;0;90592;97430.73486563892
205133.30000000075;1701.83;0.3999999985098839;41.47;53.09;1685.39;0;0;102400;97427.53680744894
206133.69999999925;1709.32;0.19999999925494194;43.26;53.09;1666.67;0;0;92800;97415.39124292339
207134.6000000015;1702.47;0.30000000074505806;41.84;53.09;1685.39;0;0;92960;97408.06650095758
208134.80000000075;1690.66;0.19999999925494194;43.61;53.09;1685.39;0;0;94848;97399.29407948094
209134.80000000075;1702.00;0.30000000074505806;42.20;53.09;1666.67;0;0;94400;97388.69965797996
210135.19999999925;1700.32;0.19999999925494194;43.98;53.09;1685.39;0;0;94784;97388.69686229229
211135.40000000224;1707.66;0.30000000074505806;42.57;53.09;1685.39;0;0;96032;97389.10454263845
212135.40000000224;1665.00;0.19999999925494194;41.85;53.09;1570.68;0;0;92160;97387.13069769755
213135.6000000015;1691.66;0.19999999925494194;43.62;53.09;1754.39;0;0;101696;97379.41978204709
214136;1696.32;0.19999999925494194;42.20;53.09;1694.92;0;0;94880;97380.01394826533
215136.30000000075;1703.49;0.10000000149011612;43.98;53.09;1675.98;0;0;94368;97375.33241179181
216136.69999999925;1688.32;0.6000000014901161;42.55;53.09;1685.39;0;0;101376;97369.08511489486
217136.90000000224;1703.66;0.30000000074505806;41.17;53.09;1578.95;0;0;96256;97364.7001786963
218137.1000000015;1702.66;0.19999999925494194;42.96;53.09;1675.98;0;0;96256;97361.92529580079
219137.19999999925;1694.83;0.30000000074505806;41.53;53.09;1764.71;0;0;95264;97363.27118774537
220137.30000000075;1715.83;0.30000000074505806;43.33;53.09;1724.14;0;0;93984;97357.9757503783
221137.6000000015;1709.49;0.30000000074505806;41.92;53.09;1694.92;0;0;101248;97347.20948722104
222138.5;1700.47;0.30000000074505806;41.07;53.09;1209.68;0;0;94720;97336.07090125824
223138.5;1676.00;0.30000000074505806;42.82;53.09;1694.92;0;0;95520;97333.84269493095
224138.80000000075;1697.49;0.20000000298023224;41.40;53.09;1724.14;0;0;95200;97328.34682189643
225138.90000000224;1703.83;0.30000000074505806;43.18;53.09;1694.92;0;0;241536;97325.70619734132
226138.90000000224;1703.00;0.5;41.76;53.09;1587.30;0;0;94816;97323.23250698975
227139.19999999925;1706.49;0.5;43.55;53.09;1694.92;0;0;96960;97323.16989534625
228139.5;1686.49;0.19999999925494194;42.12;53.09;1685.39;0;0;95872;97326.82538978792
229139.80000000075;1704.49;0.19999999925494194;43.90;53.09;1639.34;0;0;96096;97322.70168275862
230139.80000000075;1716.00;0.4000000022351742;42.50;53.09;1648.35;0;0;93920;97320.79060357218
231139.90000000224;1695.83;0.4000000022351742;41.10;53.09;1595.74;0;0;93184;97313.87403153769
232140.40000000224;1709.15;0.8000000007450581;42.90;53.09;1744.19;0;0;94496;97309.72001089028
233140.69999999925;1646.51;0.3999999985098839;42.00;53.09;1675.98;0;0;98720;97308.79334899693
234141.30000000075;1695.98;0.29999999701976776;43.77;53.09;1744.19;0;0;97408;97310.63658859205
235141.69999999925;1711.32;0.30000000074505806;42.37;53.09;1694.92;0;0;97280;97308.14896838409
236141.69999999925;1699.00;0.20000000298023224;44.14;53.09;1764.71;0;0;93888;97317.99450529847
237142.19999999925;1709.15;0.3999999985098839;42.74;53.09;1775.15;0;0;90112;97318.22189851043
238142.40000000224;1719.66;0.3999999985098839;41.34;53.09;1764.71;0;0;94208;97317.95222470837
239142.5;1695.83;0.19999999925494194;43.11;53.09;1675.98;0;0;95424;97320.37691318667
240143;1697.15;0.20000000298023224;41.69;53.09;1775.15;0;0;94208;97317.91724694367
241143.30000000075;1687.49;0.4000000022351742;43.46;53.09;1587.30;0;0;96160;97312.48544130234
242143.5;1701.66;0.09999999776482582;42.03;53.09;1704.55;0;0;92160;97310.60708632655
243144.30000000075;1627.70;0.3999999985098839;41.18;53.09;1612.90;0;0;95392;97304.05411913486
244144.6000000015;1616.52;0.30000000074505806;42.87;53.09;1714.29;0;0;99904;97300.85793410461
245144.69999999925;1709.83;0.30000000074505806;41.46;53.09;1694.92;0;0;94720;97300.54126501366
246145.30000000075;1694.98;0.4000000022351742;43.23;53.09;1714.29;0;0;104352;97299.3429280397
247145.5;1702.66;0.3999999985098839;41.81;53.09;1775.15;0;0;94208;97300.87295595341
248145.69999999925;1705.66;0.4000000022351742;43.59;53.09;1785.71;0;0;94496;97293.9493724595
249146;1701.49;0.19999999925494194;42.21;53.09;1704.55;0;0;94144;97293.68507703619
250146.30000000075;1701.49;0.3999999985098839;43.99;53.09;1648.35;0;0;93088;97288.38065097174
251146.30000000075;1699.00;0.10000000149011612;42.57;53.09;1685.39;0;0;102688;97282.01116644032
252146.69999999925;1701.32;0.30000000074505806;41.16;53.09;1744.19;0;0;92352;97283.08737945142
253147;1669.50;0.19999999925494194;42.91;53.09;1694.92;0;0;94208;97285.66767864124
254147.40000000224;1692.32;0.4000000022351742;42.03;53.09;1818.18;0;0;94752;97277.53913446883
255147.5;1712.83;0.30000000074505806;43.82;53.09;1744.19;0;0;94208;97273.22269070506
256147.80000000075;1711.49;0.30000000074505806;42.41;53.09;1734.10;0;0;95552;97268.36294305696
257148.19999999925;1700.32;0.30000000074505806;44.19;53.09;1744.19;0;0;91584;97264.32532783262
258148.69999999925;1693.15;0.19999999925494194;42.77;53.09;1724.14;0;0;93760;97257.94897468302
259149.1000000015;1697.32;0.19999999925494194;41.38;53.09;1785.71;0;0;103392;97250.79608875028
260149.1000000015;1691.00;0.3999999985098839;43.15;53.09;1630.43;0;0;96256;97252.63770367134
261149.19999999925;1698.83;0.8999999985098839;41.73;53.09;1604.28;0;0;94208;97250.79243093389
262150;1706.63;0.6000000014901161;43.51;53.09;1685.39;0;0;94208;97244.16264078543
263151.1000000015;1673.16;0.4000000022351742;42.07;53.09;1639.34;0;0;101600;97236.49803667539
264152;1688.48;0.4000000022351742;41.22;53.09;1675.98;0;0;102336;97236.00844466752
265152.30000000075;1697.49;0.29999999701976776;43.00;53.09;1666.67;0;0;91520;97234.40881241865
266152.5;1705.66;0.30000000074505806;41.59;53.09;1714.29;0;0;95456;97231.96344346149
267152.90000000224;1703.32;0.19999999925494194;43.38;53.09;1724.14;0;0;93504;97229.95068242855
268153.30000000075;1701.32;0;41.96;53.09;1754.39;0;0;103392;97227.79265814641
269153.69999999925;1697.32;0.29999999701976776;43.73;53.09;1734.10;0;0;98624;97231.01370119973
270154;1694.49;0.19999999925494194;42.31;53.09;1764.71;0;0;96000;97230.71178733278
271154.19999999925;1694.66;0.29999999701976776;44.09;53.09;1724.14;0;0;94208;97236.66144859632
272154.5;1712.49;0.30000000074505806;42.68;53.09;1764.71;0;0;94176;97229.84242293097
273154.69999999925;1664.67;0.10000000149011612;41.22;53.09;1714.29;0;0;101600;97222.03568101145
274154.80000000075;1707.83;0.30000000074505806;43.01;53.09;1724.14;0;0;95712;97215.22992420755
275155;1692.66;0.19999999925494194;42.18;53.09;1704.55;0;0;94848;97213.0188933048
276155.19999999925;1718.66;0.30000000074505806;43.98;53.09;1724.14;0;0;95136;97208.55519851363
277155.40000000224;1706.66;0.09999999776482582;42.57;53.09;1754.39;0;0;90400;97200.90387387524
278155.69999999925;1706.49;0.19999999925494194;41.16;53.09;1694.92;0;0;102112;97197.75879533737
